	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Sat Nov  2 20:46:19 2013

	Excel chart generation enabled
	Auto Mode
	Using maximum file size of 2097152 kilobytes.
	Command line used: iozone -Ra -g 2G -b iozone_results/iozone-run-5.csv
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   2358717  2561267  2772930  2892445  2923952 
"128"   2608629  2905056  2985839  3199360  3199360  3124872 
"256"   2699161  3123106  3123106  3285566  3326279  3326279  3285566 
"512"   2668325  3068685  3196584  3346002  3372274  3346002  3304808  3299730 
"1024"   2694787  3103735  3210456  3390391  3506651  3401130  3358576  3335105  3121783 
"2048"   2782790  3070239  3165272  3396834  3494960  3430751  3351769  3367537  3357009  3351769 
"4096"   2671911  3175103  3286877  3447830  3447830  3421735  3335375  3295072  3382659  3360164  3136268 
"8192"   2741802  3075025  3178865  3410461  3502234  3167728  3368335  3303247  3185053  2979821  2608978  2606405 
"16384"   2098893  2276473  2330279  2371042  2440945  2426123  2400277  2403467  2411903  2328936  2272709  2147563  2071872 
"32768"   0  0  0  0  2165354  2219771  2200825  2237806  2200227  2230181  2141534  2123369  1952679 
"65536"   0  0  0  0  2226835  2238477  2244839  2226402  2265879  2253489  2237858  2166972  2034839 
"131072"   0  0  0  0  2244388  2276385  2240245  2263684  2282254  2276932  2254808  2192054  2032408 
"262144"   0  0  0  0  2240815  2281457  2258402  2268344  2299464  2296909  2278224  2229456  2071205 
"524288"   0  0  0  0  2291026  2249148  2302628  2319141  2279969  2334526  2330605  2226674  2113084 
"1048576"   0  0  0  0  2352987  2320838  2280747  2295566  2385800  2378527  2356731  2270441  2123288 
"2097152"   0  0  0  0  2361466  2383747  2369422  2358857  2371040  2286541  2373675  2334669  2149587 

"Reader report"
        "4"  "8"  "16"  "32"  "64"  "128"  "256"  "512"  "1024"  "2048"  "4096"  "8192"  "16384"
"64"   6421025  12902017  10821524  12902017  12902017 
"128"   7917784  10779307  9795896  10567140  11720614  10779307 
"256"   8024634  9868433  9434868  10245071  10245071  9778562  9518507 
"512"   7988981  9468384  9304292  9859630  10044089  9681823  9145790  8955098 
